week_start_date,site_id,permanent_headcount,part_time_headcount,agency_headcount,turnover_events,absence_rate_pct,vacancy_count,training_hours
2025-02-03,1,33,11,2,1,5.85,1,16
2025-02-10,1,34,9,3,0,4.25,1,19
2025-02-17,1,26,6,1,0,5.65,1,10
2025-02-24,1,26,8,2,0,4.73,0,11
2025-03-03,1,30,6,3,0,3.06,1,21
2025-03-10,1,29,8,3,0,3.84,1,17
2025-03-17,1,29,8,2,0,2.04,0,13
2025-03-24,1,28,9,2,0,3.46,1,11
2025-03-31,1,30,9,3,1,2.94,1,11
2025-04-07,1,28,5,2,0,5.22,1,8
2025-04-14,1,27,5,1,0,2.49,0,18
2025-04-21,1,27,9,2,0,2.37,0,18
2025-04-28,1,29,8,2,0,3.31,1,16
2025-05-05,1,32,9,3,0,2.77,1,13
2025-05-12,1,32,10,2,0,4.48,1,14
2025-05-19,1,26,7,1,1,3.98,0,19
2025-05-26,1,25,8,2,1,2.55,0,9
2025-06-02,1,33,7,3,0,4.31,1,14
2025-06-09,1,33,10,3,0,4.52,1,13
2025-06-16,1,30,10,2,0,2.3,0,18
2025-06-23,1,29,8,3,0,3.24,1,16
2025-06-30,1,31,9,2,0,2.33,1,13
2024-01-01,2,20,5,2,0,9.32,2,6
2024-01-08,2,17,3,1,0,8.94,1,13
2024-01-15,2,19,4,2,0,8.42,1,11
2024-01-22,2,17,4,2,0,7.03,1,11
2024-01-29,2,18,5,2,0,10.75,1,11
2024-02-05,2,18,5,2,0,6.72,1,10
2024-02-12,2,18,5,1,0,8.26,2,13
2024-02-19,2,14,4,1,0,8.47,1,8
2024-02-26,2,14,3,1,0,8.65,1,6
2024-03-04,2,20,6,1,0,7.17,1,10
2024-03-11,2,13,3,1,0,5.92,1,6
2024-03-18,2,19,5,1,0,7.86,2,10
2024-03-25,2,21,5,3,1,9.68,1,11
2024-04-01,2,17,5,2,0,8.66,1,8
2024-04-08,2,19,5,2,0,8.49,1,12
2024-04-15,2,18,4,1,0,7.92,1,5
2024-04-22,2,17,5,2,0,6.83,1,10
2024-04-29,2,19,5,1,0,5.58,1,5
2024-05-06,2,18,5,1,0,9.02,0,9
2024-05-13,2,17,4,1,0,6.42,1,5
2024-05-20,2,14,3,1,0,9.05,1,5
2024-05-27,2,19,5,2,1,5.92,1,10
2024-06-03,2,15,5,1,0,7.67,2,8
2024-06-10,2,17,4,2,0,8.33,1,7
2024-06-17,2,14,4,2,0,8.75,1,9
2024-06-24,2,18,5,2,1,6.51,1,7
2024-07-01,2,19,5,2,0,7.63,1,5
2024-07-08,2,20,5,2,0,8.2,1,7
2024-07-15,2,18,4,2,0,7.81,1,11
2024-07-22,2,14,4,1,0,9.68,1,8
2024-07-29,2,18,3,2,0,6.78,1,13
2024-08-05,2,15,4,2,0,4.76,1,5
2024-08-12,2,17,5,1,0,8.18,1,12
2024-08-19,2,18,4,2,0,6.87,1,6
2024-08-26,2,19,6,2,0,7.75,1,8
2024-09-02,2,17,4,1,0,8.19,1,6
2024-09-09,2,15,3,1,0,7.75,1,6
2024-09-16,2,21,4,1,0,8.63,1,13
2024-09-23,2,18,6,1,0,6.28,1,5
2024-09-30,2,17,4,1,0,5.9,1,8
2024-10-07,2,19,6,2,0,9.84,2,15
2024-10-14,2,14,4,2,0,9.94,1,9
2024-10-21,2,17,4,2,0,7.86,1,7
2024-10-28,2,15,3,1,0,7.26,1,11
2024-11-04,2,17,4,1,0,8.87,1,8
2024-11-11,2,17,4,2,0,8.12,1,6
2024-11-18,2,16,5,1,0,7.96,1,7
2024-11-25,2,16,4,1,0,6.6,1,9
2024-12-02,2,17,4,1,0,8.77,1,10
2024-12-09,2,16,3,2,0,8.59,1,9
2024-12-16,2,18,4,1,0,9.9,2,10
2024-12-23,2,20,6,3,0,11.06,1,13
2024-12-30,2,17,4,1,0,8.73,2,13
2025-01-06,2,17,3,1,0,7.81,1,10
2025-01-13,2,16,4,2,0,7.82,1,10
2025-01-20,2,20,4,3,0,10.46,2,13
2025-01-27,2,15,4,1,0,7.74,2,10
2025-02-03,2,17,4,1,0,7.8,0,6
2025-02-10,2,20,5,2,0,6.85,2,8
2025-02-17,2,14,4,2,0,6.61,1,9
2025-02-24,2,16,4,2,0,9.79,1,12
2025-03-03,2,17,3,2,0,9.52,1,6
2025-03-10,2,17,3,1,0,7.24,1,5
2025-03-17,2,17,5,2,0,9.14,1,8
2025-03-24,2,19,4,1,0,8.12,1,8
2025-03-31,2,15,4,1,0,5.03,1,6
2025-04-07,2,19,4,1,0,9.35,0,12
2025-04-14,2,17,4,2,0,7.47,2,7
2025-04-21,2,17,4,1,0,8.63,2,12
2025-04-28,2,16,4,2,0,8.86,1,5
2025-05-05,2,19,5,1,0,8.91,1,11
2025-05-12,2,15,3,2,0,7.99,1,6
2025-05-19,2,18,3,2,0,7.63,2,7
2025-05-26,2,15,4,1,0,8.92,1,5
2025-06-02,2,17,5,1,0,7.81,1,10
2025-06-09,2,14,4,1,0,8.14,0,4
2025-06-16,2,19,5,3,0,7.03,1,8
2025-06-23,2,15,3,1,0,6.39,1,5
2025-06-30,2,18,4,2,0,7.12,1,7
2024-01-01,3,117,31,4,1,5.58,3,47
2024-01-08,3,113,36,0,0,6.24,4,41
2024-01-15,3,110,32,4,2,6.25,4,68
2024-01-22,3,113,36,0,0,4.84,4,42
2024-01-29,3,112,29,2,0,5.2,3,40
2024-02-05,3,108,23,1,0,6.04,3,65
2024-02-12,3,112,31,0,0,6.28,4,81
2024-02-19,3,115,27,3,0,6.22,4,55
2024-02-26,3,113,27,2,0,5.19,3,58
2024-03-04,3,111,36,3,0,4.19,3,33
2024-03-11,3,114,28,1,0,3.53,5,63
2024-03-18,3,111,29,4,0,3.65,5,73
2024-03-25,3,115,35,4,0,4.12,3,42
2024-04-01,3,113,26,3,0,4.49,4,86
2024-04-08,3,113,29,2,0,4.72,4,62
2024-04-15,3,114,24,2,2,3.72,3,50
2024-04-22,3,113,38,1,0,3.72,5,81
2024-04-29,3,113,24,2,1,3.04,4,85
2024-05-06,3,115,36,3,0,4.17,4,85
2024-05-13,3,113,23,2,1,4.37,4,62
2024-05-20,3,115,37,4,1,4.92,5,55
2024-05-27,3,116,30,2,2,4.6,3,63
2024-06-03,3,114,35,2,2,4.48,4,63
2024-06-10,3,113,31,3,1,4.42,4,86
2024-06-17,3,112,34,0,0,3.92,4,36
2024-06-24,3,112,33,1,1,3.16,5,47
2024-07-01,3,114,28,0,0,3.08,4,54
2024-07-08,3,114,23,3,1,3.55,3,83
2024-07-15,3,114,34,0,0,2.89,4,36
2024-07-22,3,115,29,1,0,3.72,4,89
2024-07-29,3,114,26,4,0,4.42,5,49
2024-08-05,3,114,36,3,0,2.55,4,68
2024-08-12,3,116,32,1,0,4.37,3,80
2024-08-19,3,112,36,1,1,3.46,4,60
2024-08-26,3,114,35,1,1,3.96,3,36
2024-09-02,3,112,26,0,0,3.6,3,58
2024-09-09,3,116,25,2,0,4.01,4,52
2024-09-16,3,111,26,1,1,3.78,4,81
2024-09-23,3,114,38,4,0,3.73,4,41
2024-09-30,3,116,25,0,0,4.49,5,39
2024-10-07,3,111,36,3,0,3.54,4,82
2024-10-14,3,114,38,0,1,3.19,4,68
2024-10-21,3,111,23,3,0,3.3,4,47
2024-10-28,3,115,37,3,0,4.26,5,47
2024-11-04,3,113,28,3,0,3.33,5,56
2024-11-11,3,116,33,3,0,4.2,4,73
2024-11-18,3,117,25,3,0,4.41,5,38
2024-11-25,3,113,24,3,1,4.7,4,88
2024-12-02,3,117,31,4,0,6.46,4,57
2024-12-09,3,114,30,0,0,5.05,4,55
2024-12-16,3,117,40,4,1,6.4,4,37
2024-12-23,3,117,23,3,1,5.42,4,58
2024-12-30,3,110,24,0,0,6.16,4,85
2025-01-06,3,116,32,0,1,5.49,4,54
2025-01-13,3,112,33,0,0,5.09,4,81
2025-01-20,3,111,31,0,1,4.63,3,68
2025-01-27,3,114,34,1,0,6.4,4,87
2025-02-03,3,110,32,1,0,6.17,4,75
2025-02-10,3,113,34,1,1,4.96,5,46
2025-02-17,3,114,34,0,0,6.04,4,41
2025-02-24,3,114,33,0,0,4.58,4,57
2025-03-03,3,112,38,2,0,4.84,5,38
2025-03-10,3,114,35,1,0,4.59,4,35
2025-03-17,3,108,24,3,0,4.72,4,67
2025-03-24,3,112,32,4,0,4.45,4,50
2025-03-31,3,110,31,2,0,3.29,3,33
2025-04-07,3,113,29,2,2,3.5,4,72
2025-04-14,3,112,31,0,0,5.0,4,55
2025-04-21,3,110,30,4,1,4.63,3,86
2025-04-28,3,112,26,3,1,4.16,4,80
2025-05-05,3,113,30,1,1,3.41,4,58
2025-05-12,3,116,37,1,0,4.84,4,56
2025-05-19,3,112,31,2,1,4.45,4,70
2025-05-26,3,115,34,1,1,3.78,4,80
2025-06-02,3,113,37,1,2,4.99,5,39
2025-06-09,3,111,31,4,0,4.62,3,56
2025-06-16,3,110,22,4,1,4.64,4,85
2025-06-23,3,112,33,3,0,4.84,4,85
2025-06-30,3,115,23,0,0,3.97,4,79
2024-01-01,4,29,8,0,0,5.58,1,15
2024-01-08,4,32,7,1,0,5.44,1,20
2024-01-15,4,29,7,1,0,4.65,1,11
2024-01-22,4,25,5,0,1,6.12,1,16
2024-01-29,4,28,6,0,0,4.79,1,13
2024-02-05,4,31,10,0,0,5.76,1,12
2024-02-12,4,28,6,0,0,6.23,1,9
2024-02-19,4,28,8,0,0,6.26,1,14
2024-02-26,4,27,8,0,0,6.43,1,11
2024-03-04,4,32,7,0,1,3.36,1,15
2024-03-11,4,27,8,0,0,3.64,1,14
2024-03-18,4,35,9,1,0,4.11,1,18
2024-03-25,4,29,10,0,0,3.2,1,17
2024-04-01,4,26,9,0,0,3.47,0,15
2024-04-08,4,31,10,0,0,4.69,1,10
2024-04-15,4,29,9,1,1,4.28,1,20
2024-04-22,4,30,6,0,0,4.1,1,9
2024-04-29,4,28,6,0,0,3.89,1,18
2024-05-06,4,30,6,0,0,3.07,1,17
2024-05-13,4,29,7,0,0,3.68,1,14
2024-05-20,4,30,6,0,0,3.63,1,20
2024-05-27,4,30,9,0,0,3.63,1,9
2024-06-03,4,30,6,1,0,4.33,1,20
2024-06-10,4,32,8,0,0,4.12,1,20
2024-06-17,4,29,6,0,0,3.97,1,16
2024-06-24,4,27,5,0,0,4.35,0,18
2024-07-01,4,31,10,0,0,3.44,1,13
2024-07-08,4,29,10,0,0,3.73,1,16
2024-07-15,4,27,7,1,0,3.57,0,21
2024-07-22,4,30,6,0,0,2.69,1,16
2024-07-29,4,27,8,0,0,3.33,1,18
2024-08-05,4,27,6,0,0,3.71,1,20
2024-08-12,4,28,7,0,0,2.71,1,16
2024-08-19,4,29,6,0,0,4.49,1,14
2024-08-26,4,30,9,0,0,3.45,1,11
2024-09-02,4,31,9,0,1,3.66,1,16
2024-09-09,4,32,8,0,0,4.53,1,11
2024-09-16,4,31,10,1,0,3.1,1,20
2024-09-23,4,27,9,0,0,4.61,1,8
2024-09-30,4,27,7,0,1,4.1,1,16
2024-10-07,4,29,9,0,1,4.71,1,15
2024-10-14,4,29,9,0,0,3.36,1,16
2024-10-21,4,27,5,0,0,4.24,1,15
2024-10-28,4,27,8,0,0,3.07,1,14
2024-11-04,4,27,9,0,0,4.35,1,12
2024-11-11,4,27,6,0,0,3.03,1,12
2024-11-18,4,29,6,0,1,3.76,1,21
2024-11-25,4,29,7,1,0,3.49,1,9
2024-12-02,4,29,6,0,0,6.18,1,14
2024-12-09,4,30,10,0,0,6.05,1,11
2024-12-16,4,29,9,0,0,4.89,1,20
2024-12-23,4,28,7,0,0,5.27,0,9
2024-12-30,4,27,7,0,0,4.61,0,9
2025-01-06,4,32,9,1,0,5.27,1,13
2025-01-13,4,32,7,0,0,4.68,1,15
2025-01-20,4,29,9,0,0,5.19,1,18
2025-01-27,4,32,8,1,0,5.26,1,24
2025-02-03,4,27,5,0,1,4.95,1,19
2025-02-10,4,31,10,0,0,6.12,1,17
2025-02-17,4,28,6,0,0,6.25,0,14
2025-02-24,4,28,6,0,0,5.13,1,10
2025-03-03,4,29,6,0,0,4.15,1,16
2025-03-10,4,27,8,0,0,4.41,1,20
2025-03-17,4,28,8,0,0,4.83,1,17
2025-03-24,4,31,6,0,0,3.76,1,20
2025-03-31,4,29,6,0,0,3.41,1,11
2025-04-07,4,28,5,0,0,4.78,1,19
2025-04-14,4,26,7,0,0,4.27,0,9
2025-04-21,4,32,6,0,0,3.25,1,12
2025-04-28,4,28,7,0,0,4.23,0,17
2025-05-05,4,30,9,0,0,3.45,1,17
2025-05-12,4,24,8,0,0,4.11,0,13
2025-05-19,4,27,9,0,0,4.64,0,20
2025-05-26,4,33,6,0,0,3.08,1,15
2025-06-02,4,29,6,0,0,4.8,1,18
2025-06-09,4,29,10,0,0,4.51,1,13
2025-06-16,4,29,9,0,0,4.18,0,17
2025-06-23,4,30,10,0,0,4.68,0,17
2025-06-30,4,25,7,0,0,3.43,0,13
2024-01-01,5,114,28,16,2,9.59,12,62
2024-01-08,5,120,32,13,1,10.6,8,38
2024-01-15,5,117,29,14,1,8.76,10,53
2024-01-22,5,114,34,14,1,7.42,7,36
2024-01-29,5,118,33,15,2,9.37,13,66
2024-02-05,5,115,25,16,0,8.88,7,50
2024-02-12,5,117,26,11,0,10.81,7,42
2024-02-19,5,115,24,18,0,10.27,10,49
2024-02-26,5,114,37,9,0,11.0,6,58
2024-03-04,5,114,31,15,3,9.34,14,76
2024-03-11,5,114,32,19,2,9.34,11,76
2024-03-18,5,119,25,10,0,9.95,11,67
2024-03-25,5,115,28,12,0,8.09,14,49
2024-04-01,5,115,26,11,1,7.11,11,47
2024-04-08,5,112,35,9,0,8.73,6,86
2024-04-15,5,114,39,18,1,8.41,8,46
2024-04-22,5,118,28,12,0,8.7,15,43
2024-04-29,5,113,30,18,2,6.93,12,60
2024-05-06,5,118,28,9,1,5.82,11,91
2024-05-13,5,117,27,19,1,7.52,8,51
2024-05-20,5,118,36,20,0,8.28,13,66
2024-05-27,5,115,30,13,0,9.68,8,82
2024-06-03,5,118,35,20,1,6.9,7,69
2024-06-10,5,116,30,17,0,8.36,12,79
2024-06-17,5,115,31,14,0,9.2,8,86
2024-06-24,5,112,38,16,1,10.23,10,79
2024-07-01,5,115,26,19,0,6.07,11,89
2024-07-08,5,119,25,10,0,8.69,11,60
2024-07-15,5,116,34,18,2,5.67,13,79
2024-07-22,5,115,27,18,0,7.98,9,50
2024-07-29,5,112,32,13,0,6.56,11,63
2024-08-05,5,117,35,10,0,7.56,6,64
2024-08-12,5,118,30,21,0,8.67,10,57
2024-08-19,5,116,38,10,0,7.57,9,78
2024-08-26,5,114,23,16,0,5.8,9,42
2024-09-02,5,113,37,13,3,5.59,6,42
2024-09-09,5,115,39,18,0,7.12,7,46
2024-09-16,5,115,37,12,0,8.31,8,60
2024-09-23,5,111,28,13,0,6.7,8,45
2024-09-30,5,119,27,18,0,7.76,7,50
2024-10-07,5,113,38,15,0,9.11,8,50
2024-10-14,5,115,25,14,0,5.77,10,67
2024-10-21,5,112,34,10,0,8.41,12,72
2024-10-28,5,117,24,12,0,8.67,13,80
2024-11-04,5,114,24,15,0,8.07,9,90
2024-11-11,5,119,31,21,0,8.02,8,90
2024-11-18,5,112,27,9,1,8.82,11,83
2024-11-25,5,117,31,10,0,6.04,13,53
2024-12-02,5,114,39,17,0,7.79,6,74
2024-12-09,5,113,35,11,0,8.46,13,79
2024-12-16,5,115,34,13,1,10.47,9,60
2024-12-23,5,117,24,20,0,10.94,8,48
2024-12-30,5,114,38,12,1,6.48,13,47
2025-01-06,5,117,28,10,1,9.82,15,82
2025-01-13,5,116,25,14,2,9.35,14,63
2025-01-20,5,115,33,16,1,10.75,10,49
2025-01-27,5,117,26,17,0,8.3,8,52
2025-02-03,5,115,28,15,0,9.63,9,82
2025-02-10,5,113,35,14,0,8.93,10,88
2025-02-17,5,115,27,14,3,9.06,14,44
2025-02-24,5,118,26,11,1,9.69,9,47
2025-03-03,5,115,32,19,1,4.78,9,35
2025-03-10,5,115,27,14,0,5.91,9,40
2025-03-17,5,114,25,20,0,5.16,8,72
2025-03-24,5,118,27,12,0,5.47,14,93
2025-03-31,5,112,33,12,1,8.65,11,59
2025-04-07,5,117,25,19,1,8.86,7,65
2025-04-14,5,114,30,19,0,6.92,12,48
2025-04-21,5,116,30,18,1,7.63,12,48
2025-04-28,5,114,33,15,0,8.55,6,62
2025-05-05,5,121,34,15,2,7.87,9,58
2025-05-12,5,116,34,18,0,7.57,13,39
2025-05-19,5,117,36,20,1,6.42,11,59
2025-05-26,5,116,34,16,1,6.23,7,81
2025-06-02,5,113,28,10,0,8.02,7,42
2025-06-09,5,116,30,18,1,9.2,13,73
2025-06-16,5,116,26,13,0,8.05,12,51
2025-06-23,5,116,35,13,0,10.04,12,76
2025-06-30,5,114,34,18,3,5.86,7,83
2024-01-01,6,57,18,5,0,5.32,1,18
2024-01-08,6,58,11,3,0,4.93,2,28
2024-01-15,6,59,12,5,0,4.8,2,33
2024-01-22,6,54,15,6,0,4.85,1,40
2024-01-29,6,54,13,6,0,3.84,2,29
2024-02-05,6,54,16,4,1,4.97,1,33
2024-02-12,6,57,11,4,0,4.52,2,45
2024-02-19,6,57,16,3,0,4.77,2,32
2024-02-26,6,59,12,4,0,4.93,2,32
2024-03-04,6,55,14,3,0,2.88,2,42
2024-03-11,6,58,17,6,0,3.85,1,37
2024-03-18,6,55,13,3,0,3.66,1,43
2024-03-25,6,57,14,3,0,2.56,1,41
2024-04-01,6,56,12,5,0,3.2,2,28
2024-04-08,6,56,17,6,0,4.27,2,18
2024-04-15,6,62,13,7,0,2.9,2,47
2024-04-22,6,54,15,5,1,2.03,1,26
2024-04-29,6,58,11,6,1,4.75,2,19
2024-05-06,6,55,12,6,0,3.54,2,28
2024-05-13,6,56,14,3,0,3.09,2,31
2024-05-20,6,60,19,5,0,2.92,2,21
2024-05-27,6,51,12,3,0,4.49,2,19
2024-06-03,6,57,16,4,0,3.61,1,40
2024-06-10,6,53,13,4,0,2.03,1,27
2024-06-17,6,58,15,5,0,4.71,2,40
2024-06-24,6,54,14,3,0,4.29,2,26
2024-07-01,6,59,14,5,0,1.31,2,43
2024-07-08,6,59,13,3,0,3.6,2,20
2024-07-15,6,56,19,3,0,4.12,2,31
2024-07-22,6,56,18,2,0,4.76,1,24
2024-07-29,6,55,12,6,0,3.36,2,32
2024-08-05,6,57,15,3,1,2.97,2,45
2024-08-12,6,57,17,6,0,3.14,2,45
2024-08-19,6,58,15,3,0,1.52,2,22
2024-08-26,6,55,14,4,0,3.46,2,39
2024-09-02,6,54,17,6,0,3.23,1,31
2024-09-09,6,57,17,4,0,4.53,2,31
2024-09-16,6,55,14,3,0,3.58,2,30
2024-09-23,6,57,18,5,1,3.88,2,28
2024-09-30,6,56,14,2,0,3.42,1,21
2024-10-07,6,56,15,3,0,3.91,2,18
2024-10-14,6,61,18,6,0,3.86,2,25
2024-10-21,6,56,14,4,0,4.25,1,40
2024-10-28,6,56,15,6,1,2.63,2,26
2024-11-04,6,59,17,5,0,4.0,2,29
2024-11-11,6,60,18,5,0,2.5,2,25
2024-11-18,6,55,15,3,0,3.59,2,41
2024-11-25,6,51,14,3,0,5.23,1,32
2024-12-02,6,58,13,3,0,5.24,2,20
2024-12-09,6,56,18,4,0,4.59,2,18
2024-12-16,6,58,14,4,1,3.95,2,30
2024-12-23,6,59,17,3,0,4.21,2,45
2024-12-30,6,56,11,4,0,6.02,2,16
2025-01-06,6,57,15,4,0,4.27,1,25
2025-01-13,6,57,18,4,0,5.94,2,40
2025-01-20,6,60,16,3,1,5.03,2,43
2025-01-27,6,59,18,5,0,5.77,2,46
2025-02-03,6,60,17,6,0,4.75,2,18
2025-02-10,6,57,17,3,0,5.21,2,44
2025-02-17,6,55,11,4,0,5.81,1,22
2025-02-24,6,58,14,3,0,4.23,2,19
2025-03-03,6,55,17,6,0,3.44,1,29
2025-03-10,6,58,20,4,1,4.04,2,34
2025-03-17,6,58,20,5,0,2.8,2,28
2025-03-24,6,58,14,6,0,3.75,2,30
2025-03-31,6,56,19,3,0,3.58,1,19
2025-04-07,6,53,16,4,0,2.62,2,22
2025-04-14,6,53,17,5,0,3.7,2,39
2025-04-21,6,56,15,4,1,2.78,2,25
2025-04-28,6,59,18,5,0,3.51,2,19
2025-05-05,6,55,15,3,0,2.07,2,27
2025-05-12,6,55,18,4,0,4.92,2,30
2025-05-19,6,57,12,3,0,2.31,2,39
2025-05-26,6,61,15,5,1,4.63,2,28
2025-06-02,6,57,13,6,0,3.12,2,31
2025-06-09,6,56,17,4,0,2.91,2,42
2025-06-16,6,54,13,4,0,3.37,1,31
2025-06-23,6,58,15,6,1,2.43,2,34
2025-06-30,6,57,12,3,0,4.41,2,42
2024-01-01,7,33,11,0,0,4.94,1,16
2024-01-08,7,35,10,0,0,4.9,1,18
2024-01-15,7,33,7,0,0,5.66,1,18
2024-01-22,7,39,12,1,0,6.46,1,30
2024-01-29,7,35,11,0,0,5.51,1,20
2024-02-05,7,38,13,1,0,4.62,1,13
2024-02-12,7,32,8,1,0,4.61,1,14
2024-02-19,7,38,11,0,1,5.94,1,23
2024-02-26,7,36,12,1,0,5.03,1,12
2024-03-04,7,38,9,1,0,3.93,1,22
2024-03-11,7,36,11,1,0,3.31,1,26
2024-03-18,7,38,10,0,0,3.84,1,17
2024-03-25,7,33,11,0,0,3.64,1,21
2024-04-01,7,41,9,1,0,3.59,1,27
2024-04-08,7,37,11,0,0,4.55,1,11
2024-04-15,7,38,9,0,0,4.7,1,29
2024-04-22,7,37,12,0,0,3.1,1,29
2024-04-29,7,39,13,1,0,3.22,1,18
2024-05-06,7,35,10,0,0,4.5,1,12
2024-05-13,7,36,10,1,0,3.48,1,11
2024-05-20,7,37,9,1,0,3.35,1,18
2024-05-27,7,35,11,0,0,4.1,1,27
2024-06-03,7,38,8,0,0,4.12,1,14
2024-06-10,7,36,10,1,1,3.08,1,23
2024-06-17,7,36,8,0,0,4.18,1,15
2024-06-24,7,38,9,0,0,4.03,1,23
2024-07-01,7,35,8,0,0,2.88,1,13
2024-07-08,7,35,7,0,0,2.71,1,16
2024-07-15,7,39,9,1,0,4.28,1,14
2024-07-22,7,36,9,0,0,3.22,1,26
2024-07-29,7,36,9,0,0,2.56,1,23
2024-08-05,7,38,12,1,0,3.03,1,26
2024-08-12,7,39,7,0,0,4.33,1,15
2024-08-19,7,40,13,1,0,2.9,1,23
2024-08-26,7,39,9,0,0,3.71,1,16
2024-09-02,7,36,10,1,0,3.74,1,14
2024-09-09,7,35,10,0,0,4.57,1,15
2024-09-16,7,35,7,0,1,4.66,1,18
2024-09-23,7,36,9,1,0,4.24,1,24
2024-09-30,7,33,10,1,0,3.35,1,17
2024-10-07,7,35,11,0,0,4.32,1,19
2024-10-14,7,34,9,1,0,4.94,1,19
2024-10-21,7,34,7,0,0,3.48,1,16
2024-10-28,7,35,9,0,0,3.83,1,13
2024-11-04,7,35,7,0,0,4.66,1,20
2024-11-11,7,34,11,0,0,4.17,1,13
2024-11-18,7,33,7,0,1,4.85,1,23
2024-11-25,7,37,12,1,0,4.06,1,16
2024-12-02,7,36,10,0,1,6.07,1,26
2024-12-09,7,34,8,0,0,6.02,1,22
2024-12-16,7,38,9,1,0,6.21,1,11
2024-12-23,7,37,8,1,0,6.35,1,12
2024-12-30,7,35,11,0,0,5.04,1,17
2025-01-06,7,38,7,1,0,5.39,1,27
2025-01-13,7,36,11,0,0,4.72,1,28
2025-01-20,7,36,12,1,0,5.0,1,12
2025-01-27,7,37,11,1,0,5.38,1,28
2025-02-03,7,38,12,0,0,5.26,1,24
2025-02-10,7,36,9,1,0,5.9,1,26
2025-02-17,7,36,9,0,0,6.22,1,27
2025-02-24,7,35,8,1,0,5.28,1,15
2025-03-03,7,36,11,0,0,4.67,1,23
2025-03-10,7,33,9,0,0,4.26,1,24
2025-03-17,7,35,10,0,0,4.49,1,16
2025-03-24,7,35,9,0,0,3.98,1,14
2025-03-31,7,37,11,1,0,4.13,1,15
2025-04-07,7,40,8,0,0,3.8,1,24
2025-04-14,7,37,7,1,0,4.94,1,22
2025-04-21,7,39,12,0,0,4.95,1,16
2025-04-28,7,39,8,0,0,4.2,1,22
2025-05-05,7,35,9,1,1,3.01,1,27
2025-05-12,7,38,13,0,0,4.02,1,12
2025-05-19,7,33,10,0,0,4.82,1,14
2025-05-26,7,37,11,0,1,4.88,1,22
2025-06-02,7,35,10,0,0,4.91,1,22
2025-06-09,7,34,9,0,0,3.03,1,14
2025-06-16,7,38,12,0,0,4.03,1,17
2025-06-23,7,37,9,0,0,4.91,1,25
2025-06-30,7,36,9,0,1,3.99,1,20
2024-01-01,8,70,14,11,0,9.5,7,42
2024-01-08,8,71,15,9,0,8.83,8,40
