site_id,week_start_date,shift_type,scheduled_hours,actual_hours,agency_hours,overtime_hours,demand_volume,service_level_score
1,2024-03-04,Evening,64,61,0,0,180,0.868
1,2024-03-04,Weekend,46,51,4,3,315,0.906
1,2024-03-11,Morning,101,100,4,0,270,0.903
1,2024-03-11,Afternoon,107,105,0,0,360,0.903
1,2024-03-11,Evening,60,61,0,0,180,0.892
1,2024-03-11,Weekend,43,47,3,3,315,0.86
1,2024-03-18,Morning,93,93,0,0,270,0.954
1,2024-03-18,Afternoon,108,110,0,0,360,0.958
1,2024-03-18,Evening,58,58,0,0,180,0.894
1,2024-03-18,Weekend,44,48,4,2,315,0.871
1,2024-03-25,Morning,95,98,5,0,270,0.94
1,2024-03-25,Afternoon,108,107,0,0,360,0.96
1,2024-03-25,Evening,59,57,0,0,180,0.899
1,2024-03-25,Weekend,48,55,3,4,315,0.863
1,2024-04-01,Morning,99,97,0,0,270,0.912
1,2024-04-01,Afternoon,110,106,0,0,360,0.939
1,2024-04-01,Evening,63,61,0,0,180,0.864
1,2024-04-01,Weekend,44,46,3,2,315,0.874
1,2024-04-08,Morning,101,97,0,0,270,0.902
1,2024-04-08,Afternoon,103,104,0,0,360,0.919
1,2024-04-08,Evening,60,59,0,0,180,0.885
1,2024-04-08,Weekend,46,49,4,2,315,0.894
1,2024-04-15,Morning,93,88,0,0,270,0.941
1,2024-04-15,Afternoon,111,111,0,0,360,0.922
1,2024-04-15,Evening,55,53,0,0,180,0.903
1,2024-04-15,Weekend,45,52,4,3,315,0.896
1,2024-04-22,Morning,101,101,0,0,270,0.909
1,2024-04-22,Afternoon,117,115,0,0,360,0.917
1,2024-04-22,Evening,60,57,0,0,180,0.89
1,2024-04-22,Weekend,41,44,3,1,315,0.867
1,2024-04-29,Morning,102,97,0,0,270,0.946
1,2024-04-29,Afternoon,107,105,0,0,360,0.902
1,2024-04-29,Evening,56,57,0,0,180,0.879
1,2024-04-29,Weekend,41,48,5,3,315,0.872
1,2024-05-06,Morning,89,86,0,0,270,0.923
1,2024-05-06,Afternoon,101,100,0,0,360,0.96
1,2024-05-06,Evening,61,60,0,0,180,0.862
1,2024-05-06,Weekend,41,46,3,2,315,0.883
1,2024-05-13,Morning,102,100,0,0,270,0.925
1,2024-05-13,Afternoon,104,101,0,0,360,0.946
1,2024-05-13,Evening,63,65,2,0,180,0.897
1,2024-05-13,Weekend,48,53,4,2,315,0.878
1,2024-05-20,Morning,101,99,0,0,270,0.91
1,2024-05-20,Afternoon,113,107,0,0,360,0.923
1,2024-05-20,Evening,61,60,0,0,180,0.887
1,2024-05-20,Weekend,46,50,2,2,315,0.894
1,2024-05-27,Morning,100,98,0,0,270,0.906
1,2024-05-27,Afternoon,106,107,0,0,360,0.929
1,2024-05-27,Evening,61,58,0,0,180,0.895
1,2024-05-27,Weekend,47,51,3,3,315,0.918
1,2024-06-03,Morning,90,89,0,0,270,0.929
1,2024-06-03,Afternoon,117,118,0,0,360,0.929
1,2024-06-03,Evening,59,56,0,0,180,0.882
1,2024-06-03,Weekend,41,48,5,2,315,0.899
1,2024-06-10,Morning,101,100,0,0,270,0.905
1,2024-06-10,Afternoon,116,117,0,0,360,0.935
1,2024-06-10,Evening,61,60,0,0,180,0.891
1,2024-06-10,Weekend,45,53,6,3,315,0.917
1,2024-06-17,Morning,90,87,0,0,270,0.95
1,2024-06-17,Afternoon,116,115,0,0,360,0.95
1,2024-06-17,Evening,58,57,2,0,180,0.864
1,2024-06-17,Weekend,42,47,3,3,315,0.896
1,2024-06-24,Morning,91,88,0,0,270,0.955
1,2024-06-24,Afternoon,103,103,0,0,360,0.91
1,2024-06-24,Evening,64,67,3,0,180,0.918
1,2024-06-24,Weekend,44,49,3,2,315,0.893
1,2024-07-01,Morning,88,83,0,0,270,0.921
1,2024-07-01,Afternoon,101,99,0,0,360,0.934
1,2024-07-01,Evening,61,58,0,0,180,0.902
1,2024-07-01,Weekend,46,51,3,2,315,0.874
1,2024-07-08,Morning,89,84,0,0,270,0.916
1,2024-07-08,Afternoon,108,105,0,0,360,0.921
1,2024-07-08,Evening,57,54,0,0,180,0.917
1,2024-07-08,Weekend,47,52,3,2,315,0.904
1,2024-07-15,Morning,99,94,0,0,270,0.911
1,2024-07-15,Afternoon,110,111,0,0,360,0.952
1,2024-07-15,Evening,62,61,0,0,180,0.866
1,2024-07-15,Weekend,47,55,5,4,315,0.891
1,2024-07-22,Morning,96,96,0,0,270,0.956
1,2024-07-22,Afternoon,109,107,0,0,360,0.916
1,2024-07-22,Evening,57,57,0,0,180,0.913
1,2024-07-22,Weekend,41,46,3,2,315,0.908
1,2024-07-29,Morning,100,96,0,0,270,0.922
1,2024-07-29,Afternoon,102,101,0,0,360,0.924
1,2024-07-29,Evening,59,58,0,0,180,0.911
1,2024-07-29,Weekend,48,56,4,4,315,0.872
1,2024-08-05,Morning,94,93,0,0,270,0.95
1,2024-08-05,Afternoon,105,106,0,0,360,0.925
1,2024-08-05,Evening,58,56,0,0,180,0.898
1,2024-08-05,Weekend,43,46,2,3,315,0.919
1,2024-08-12,Morning,101,97,0,0,270,0.9
1,2024-08-12,Afternoon,101,102,0,0,360,0.937
1,2024-08-12,Evening,57,57,0,0,180,0.895
1,2024-08-12,Weekend,47,52,3,2,315,0.917
1,2024-08-19,Morning,102,99,0,0,270,0.906
1,2024-08-19,Afternoon,115,109,0,0,360,0.918
1,2024-08-19,Evening,63,62,0,0,180,0.863
1,2024-08-19,Weekend,41,45,4,3,315,0.907
1,2024-08-26,Morning,88,88,0,0,270,0.939
1,2024-08-26,Afternoon,114,108,0,0,360,0.926
1,2024-08-26,Evening,64,60,0,0,180,0.882
1,2024-08-26,Weekend,44,48,4,1,315,0.9
1,2024-09-02,Morning,98,94,0,0,270,0.916
1,2024-09-02,Afternoon,115,115,0,0,360,0.958
1,2024-09-02,Evening,58,57,0,0,180,0.882
1,2024-09-02,Weekend,48,54,6,2,315,0.861
1,2024-09-09,Morning,95,90,0,0,270,0.924
1,2024-09-09,Afternoon,106,104,0,0,360,0.91
1,2024-09-09,Evening,62,62,0,0,180,0.878
1,2024-09-09,Weekend,42,49,4,4,315,0.868
1,2024-09-16,Morning,90,94,3,0,270,0.919
1,2024-09-16,Afternoon,114,115,0,0,360,0.933
1,2024-09-16,Evening,64,60,0,0,180,0.874
1,2024-09-16,Weekend,46,53,4,4,315,0.902
1,2024-09-23,Morning,99,96,0,0,270,0.902
1,2024-09-23,Afternoon,109,108,0,0,360,0.939
1,2024-09-23,Evening,59,56,0,0,180,0.87
1,2024-09-23,Weekend,41,44,3,2,315,0.905
1,2024-09-30,Morning,89,86,0,0,270,0.945
1,2024-09-30,Afternoon,112,109,0,0,360,0.923
1,2024-09-30,Evening,55,55,0,0,180,0.879
1,2024-09-30,Weekend,48,54,3,3,315,0.89
1,2024-10-07,Morning,95,90,0,0,270,0.907
1,2024-10-07,Afternoon,102,109,5,0,360,0.96
1,2024-10-07,Evening,58,57,0,0,180,0.902
1,2024-10-07,Weekend,41,45,4,1,315,0.911
1,2024-10-14,Morning,92,89,0,0,270,0.954
1,2024-10-14,Afternoon,108,114,5,0,360,0.906
1,2024-10-14,Evening,64,62,0,0,180,0.888
1,2024-10-14,Weekend,44,48,5,1,315,0.874
1,2024-10-21,Morning,90,87,0,0,270,0.95
1,2024-10-21,Afternoon,114,110,0,0,360,0.947
1,2024-10-21,Evening,60,60,0,0,180,0.882
1,2024-10-21,Weekend,43,48,5,2,315,0.886
1,2024-10-28,Morning,89,85,0,0,270,0.94
1,2024-10-28,Afternoon,113,113,0,0,360,0.924
1,2024-10-28,Evening,57,60,3,0,180,0.864
1,2024-10-28,Weekend,43,51,4,4,315,0.886
1,2024-11-04,Morning,92,89,0,0,270,0.955
1,2024-11-04,Afternoon,105,102,0,0,360,0.937
1,2024-11-04,Evening,56,54,0,0,180,0.902
1,2024-11-04,Weekend,47,53,5,2,315,0.89
1,2024-11-11,Morning,102,97,0,0,270,0.918
1,2024-11-11,Afternoon,113,109,0,0,360,0.943
1,2024-11-11,Evening,58,57,0,0,180,0.863
1,2024-11-11,Weekend,41,47,5,3,315,0.873
1,2024-11-18,Morning,90,90,0,0,270,0.943
1,2024-11-18,Afternoon,103,102,0,0,360,0.956
1,2024-11-18,Evening,61,59,0,0,180,0.89
1,2024-11-18,Weekend,47,50,3,1,315,0.91
1,2024-11-25,Morning,92,90,0,0,270,0.916
1,2024-11-25,Afternoon,110,114,4,0,360,0.919
1,2024-11-25,Evening,63,59,0,0,180,0.882
1,2024-11-25,Weekend,45,51,5,1,315,0.866
1,2024-12-02,Morning,89,88,0,0,270,0.956
1,2024-12-02,Afternoon,109,104,0,0,360,0.955
1,2024-12-02,Evening,57,57,0,0,180,0.902
1,2024-12-02,Weekend,48,57,5,4,315,0.903
1,2024-12-09,Morning,96,93,0,0,270,0.949
1,2024-12-09,Afternoon,105,103,0,0,360,0.943
1,2024-12-09,Evening,57,55,0,0,180,0.881
1,2024-12-09,Weekend,48,53,4,1,315,0.894
1,2024-12-16,Morning,98,97,0,0,270,0.951
1,2024-12-16,Afternoon,110,112,6,0,360,0.935
1,2024-12-16,Evening,56,56,0,0,180,0.888
1,2024-12-16,Weekend,42,47,2,3,315,0.884
1,2024-12-23,Morning,87,86,0,0,270,0.915
1,2024-12-23,Afternoon,113,110,0,0,360,0.93
1,2024-12-23,Evening,60,58,0,0,180,0.87
1,2024-12-23,Weekend,42,46,5,1,315,0.911
1,2024-12-30,Morning,101,96,0,0,270,0.936
1,2024-12-30,Afternoon,101,99,0,0,360,0.904
1,2024-12-30,Evening,57,54,0,0,180,0.886
1,2024-12-30,Weekend,44,49,3,3,315,0.912
1,2025-01-06,Morning,91,88,0,0,270,0.93
1,2025-01-06,Afternoon,114,113,0,0,360,0.918
1,2025-01-06,Evening,59,60,0,0,180,0.904
1,2025-01-06,Weekend,41,46,5,2,315,0.882
1,2025-01-13,Morning,89,86,0,0,270,0.937
1,2025-01-13,Afternoon,108,102,0,0,360,0.935
1,2025-01-13,Evening,62,59,0,0,180,0.886
1,2025-01-13,Weekend,45,49,2,3,315,0.869
1,2025-01-20,Morning,102,103,0,0,270,0.913
1,2025-01-20,Afternoon,105,102,0,0,360,0.943
1,2025-01-20,Evening,62,61,0,0,180,0.861
1,2025-01-20,Weekend,46,50,3,4,315,0.882
1,2025-01-27,Morning,88,92,5,0,270,0.906
1,2025-01-27,Afternoon,117,115,0,0,360,0.954
1,2025-01-27,Evening,58,56,0,0,180,0.888
1,2025-01-27,Weekend,45,52,6,3,315,0.865
1,2025-02-03,Morning,91,92,0,0,270,0.932
1,2025-02-03,Afternoon,116,113,0,0,360,0.949
1,2025-02-03,Evening,56,55,2,0,180,0.889
1,2025-02-03,Weekend,44,48,3,1,315,0.883
1,2025-02-10,Morning,90,90,0,0,270,0.931
1,2025-02-10,Afternoon,113,108,0,0,360,0.916
1,2025-02-10,Evening,64,65,2,0,180,0.876
1,2025-02-10,Weekend,47,52,3,4,315,0.864
1,2025-02-17,Morning,90,85,0,0,270,0.9
1,2025-02-17,Afternoon,114,110,0,0,360,0.959
1,2025-02-17,Evening,57,55,0,0,180,0.907
1,2025-02-17,Weekend,43,50,4,3,315,0.882
1,2025-02-24,Morning,97,93,0,0,270,0.904
1,2025-02-24,Afternoon,112,106,0,0,360,0.947
1,2025-02-24,Evening,55,52,0,0,180,0.912
1,2025-02-24,Weekend,46,49,3,2,315,0.871
1,2025-03-03,Morning,91,89,0,0,270,0.944
1,2025-03-03,Afternoon,118,112,0,0,360,0.952
1,2025-03-03,Evening,57,55,0,0,180,0.912
1,2025-03-03,Weekend,43,46,4,1,315,0.907
1,2025-03-10,Morning,98,95,0,0,270,0.905
1,2025-03-10,Afternoon,111,112,0,0,360,0.925
1,2025-03-10,Evening,63,63,1,0,180,0.915
1,2025-03-10,Weekend,47,52,4,3,315,0.91
1,2025-03-17,Morning,87,86,3,0,270,0.959
1,2025-03-17,Afternoon,106,101,0,0,360,0.908
1,2025-03-17,Evening,58,58,1,0,180,0.903
1,2025-03-17,Weekend,47,53,3,3,315,0.871
1,2025-03-24,Morning,93,92,0,0,270,0.95
1,2025-03-24,Afternoon,110,111,0,0,360,0.954
1,2025-03-24,Evening,57,54,0,0,180,0.872
1,2025-03-24,Weekend,48,53,2,4,315,0.908
1,2025-03-31,Morning,97,98,0,0,270,0.926
1,2025-03-31,Afternoon,117,113,0,0,360,0.916
1,2025-03-31,Evening,60,57,0,0,180,0.886
1,2025-03-31,Weekend,46,53,4,3,315,0.909
1,2025-04-07,Morning,91,91,3,0,270,0.934
1,2025-04-07,Afternoon,107,102,0,0,360,0.957
1,2025-04-07,Evening,63,59,0,0,180,0.91
1,2025-04-07,Weekend,48,51,2,1,315,0.916
1,2025-04-14,Morning,87,84,0,0,270,0.942
1,2025-04-14,Afternoon,104,98,0,0,360,0.94
1,2025-04-14,Evening,56,54,0,0,180,0.881
1,2025-04-14,Weekend,46,49,5,1,315,0.907
1,2025-04-21,Morning,93,91,0,0,270,0.92
1,2025-04-21,Afternoon,114,108,0,0,360,0.922
1,2025-04-21,Evening,56,57,0,0,180,0.909
1,2025-04-21,Weekend,42,47,5,3,315,0.885
1,2025-04-28,Morning,100,101,0,0,270,0.915
1,2025-04-28,Afternoon,117,117,0,0,360,0.954
1,2025-04-28,Evening,63,60,0,0,180,0.898
1,2025-04-28,Weekend,45,50,4,3,315,0.894
1,2025-05-05,Morning,99,99,0,0,270,0.908
1,2025-05-05,Afternoon,110,107,0,0,360,0.94
1,2025-05-05,Evening,63,61,0,0,180,0.912
1,2025-05-05,Weekend,48,54,6,2,315,0.869
1,2025-05-12,Morning,90,89,0,0,270,0.912
1,2025-05-12,Afternoon,112,111,0,0,360,0.915
1,2025-05-12,Evening,64,62,0,0,180,0.887
1,2025-05-12,Weekend,46,52,4,4,315,0.895
1,2025-05-19,Morning,88,83,0,0,270,0.908
1,2025-05-19,Afternoon,110,112,0,0,360,0.906
1,2025-05-19,Evening,62,62,0,0,180,0.868
1,2025-05-19,Weekend,43,48,5,1,315,0.906
1,2025-05-26,Morning,93,92,0,0,270,0.94
1,2025-05-26,Afternoon,109,108,3,0,360,0.92
1,2025-05-26,Evening,63,63,0,0,180,0.895
1,2025-05-26,Weekend,44,50,5,2,315,0.9
1,2025-06-02,Morning,94,89,0,0,270,0.947
1,2025-06-02,Afternoon,112,109,0,0,360,0.958
1,2025-06-02,Evening,64,63,0,0,180,0.885
1,2025-06-02,Weekend,47,55,6,4,315,0.915
1,2025-06-09,Morning,101,98,0,0,270,0.928
1,2025-06-09,Afternoon,104,100,0,0,360,0.936
1,2025-06-09,Evening,58,55,0,0,180,0.89
1,2025-06-09,Weekend,46,53,3,4,315,0.901
1,2025-06-16,Morning,89,86,0,0,270,0.928
1,2025-06-16,Afternoon,103,103,0,0,360,0.922
1,2025-06-16,Evening,58,58,0,0,180,0.892
1,2025-06-16,Weekend,47,51,4,3,315,0.874
1,2025-06-23,Morning,92,88,0,0,270,0.924
1,2025-06-23,Afternoon,114,112,0,0,360,0.949
1,2025-06-23,Evening,61,61,0,0,180,0.877
1,2025-06-23,Weekend,42,45,2,1,315,0.913
1,2025-06-30,Morning,98,93,0,0,270,0.93
1,2025-06-30,Afternoon,112,110,0,0,360,0.914
1,2025-06-30,Evening,63,63,0,0,180,0.89
1,2025-06-30,Weekend,45,53,6,3,315,0.873
2,2024-01-01,Morning,46,44,0,0,270,0.933
2,2024-01-01,Afternoon,61,63,2,0,360,0.957
2,2024-01-01,Evening,31,33,3,0,180,0.898
2,2024-01-01,Weekend,24,28,4,2,315,0.836
2,2024-01-08,Morning,52,49,0,0,270,0.917
2,2024-01-08,Afternoon,60,60,2,0,360,0.939
2,2024-01-08,Evening,27,31,5,0,180,0.863
2,2024-01-08,Weekend,26,27,2,1,315,0.834
2,2024-01-15,Morning,49,51,2,0,270,0.94
2,2024-01-15,Afternoon,62,59,0,0,360,0.914
2,2024-01-15,Evening,27,31,5,0,180,0.914
2,2024-01-15,Weekend,26,32,4,2,315,0.819
2,2024-01-22,Morning,51,49,1,0,270,0.904
2,2024-01-22,Afternoon,62,59,0,0,360,0.951
2,2024-01-22,Evening,28,31,5,0,180,0.862
2,2024-01-22,Weekend,26,30,3,1,315,0.823
2,2024-01-29,Morning,53,52,0,0,270,0.925
2,2024-01-29,Afternoon,61,59,0,0,360,0.928
2,2024-01-29,Evening,30,33,5,0,180,0.866
2,2024-01-29,Weekend,23,27,3,2,315,0.806
2,2024-02-05,Morning,47,47,0,0,270,0.928
2,2024-02-05,Afternoon,63,63,0,0,360,0.951
2,2024-02-05,Evening,31,36,5,0,180,0.909
2,2024-02-05,Weekend,26,29,2,1,315,0.811
2,2024-02-12,Morning,49,49,0,0,270,0.941
2,2024-02-12,Afternoon,61,60,0,0,360,0.928
2,2024-02-12,Evening,27,29,4,0,180,0.872
2,2024-02-12,Weekend,24,28,4,1,315,0.805
2,2024-02-19,Morning,47,46,0,0,270,0.944
2,2024-02-19,Afternoon,60,61,0,0,360,0.943
2,2024-02-19,Evening,32,37,5,0,180,0.901
2,2024-02-19,Weekend,23,26,3,0,315,0.8
2,2024-02-26,Morning,49,49,2,0,270,0.942
2,2024-02-26,Afternoon,63,61,0,0,360,0.906
2,2024-02-26,Evening,27,29,4,0,180,0.906
2,2024-02-26,Weekend,23,27,3,2,315,0.856
2,2024-03-04,Morning,49,49,0,0,270,0.956
2,2024-03-04,Afternoon,59,58,0,0,360,0.934
2,2024-03-04,Evening,30,34,4,0,180,0.893
2,2024-03-04,Weekend,25,27,4,0,315,0.852
2,2024-03-11,Morning,47,45,0,0,270,0.923
2,2024-03-11,Afternoon,56,53,0,0,360,0.953
2,2024-03-11,Evening,30,33,4,0,180,0.885
2,2024-03-11,Weekend,25,25,2,0,315,0.811
2,2024-03-18,Morning,47,45,0,0,270,0.936
2,2024-03-18,Afternoon,59,56,0,0,360,0.954
2,2024-03-18,Evening,30,31,3,0,180,0.914
2,2024-03-18,Weekend,25,28,4,1,315,0.806
2,2024-03-25,Morning,50,50,0,0,270,0.948
2,2024-03-25,Afternoon,61,61,0,0,360,0.929
2,2024-03-25,Evening,32,36,5,0,180,0.881
2,2024-03-25,Weekend,26,32,5,2,315,0.853
2,2024-04-01,Morning,49,48,0,0,270,0.955
2,2024-04-01,Afternoon,61,58,0,0,360,0.942
2,2024-04-01,Evening,29,32,4,0,180,0.914
2,2024-04-01,Weekend,25,28,3,1,315,0.842
2,2024-04-08,Morning,50,50,0,0,270,0.934
2,2024-04-08,Afternoon,56,54,0,0,360,0.908
2,2024-04-08,Evening,27,31,5,0,180,0.911
2,2024-04-08,Weekend,26,28,2,1,315,0.845
2,2024-04-15,Morning,50,47,0,0,270,0.96
2,2024-04-15,Afternoon,60,57,0,0,360,0.903
2,2024-04-15,Evening,28,31,4,0,180,0.864
2,2024-04-15,Weekend,24,28,4,2,315,0.824
2,2024-04-22,Morning,49,48,0,0,270,0.928
2,2024-04-22,Afternoon,62,62,0,0,360,0.915
2,2024-04-22,Evening,29,33,6,0,180,0.91
2,2024-04-22,Weekend,23,26,4,1,315,0.826
2,2024-04-29,Morning,50,50,0,0,270,0.934
2,2024-04-29,Afternoon,55,52,0,0,360,0.945
2,2024-04-29,Evening,29,32,4,0,180,0.872
2,2024-04-29,Weekend,23,28,3,2,315,0.833
2,2024-05-06,Morning,50,49,0,0,270,0.923
2,2024-05-06,Afternoon,64,62,0,0,360,0.906
2,2024-05-06,Evening,28,31,3,0,180,0.903
2,2024-05-06,Weekend,23,25,2,1,315,0.83
2,2024-05-13,Morning,46,45,2,0,270,0.904
2,2024-05-13,Afternoon,57,56,0,0,360,0.935
2,2024-05-13,Evening,32,35,4,0,180,0.879
2,2024-05-13,Weekend,25,30,3,2,315,0.806
2,2024-05-20,Morning,50,50,2,0,270,0.945
2,2024-05-20,Afternoon,59,58,0,0,360,0.919
2,2024-05-20,Evening,28,29,2,0,180,0.872
2,2024-05-20,Weekend,25,28,3,2,315,0.827
2,2024-05-27,Morning,46,46,0,0,270,0.902
2,2024-05-27,Afternoon,60,60,0,0,360,0.957
2,2024-05-27,Evening,32,35,4,0,180,0.886
2,2024-05-27,Weekend,26,31,4,1,315,0.823
2,2024-06-03,Morning,52,50,0,0,270,0.903
2,2024-06-03,Afternoon,62,60,0,0,360,0.945
2,2024-06-03,Evening,31,34,5,0,180,0.868
2,2024-06-03,Weekend,25,28,3,2,315,0.832
2,2024-06-10,Morning,46,44,0,0,270,0.908
2,2024-06-10,Afternoon,56,56,2,0,360,0.945
2,2024-06-10,Evening,31,35,4,0,180,0.887
2,2024-06-10,Weekend,25,28,3,1,315,0.813
2,2024-06-17,Morning,50,49,0,0,270,0.914
2,2024-06-17,Afternoon,62,62,0,0,360,0.925
2,2024-06-17,Evening,28,29,2,0,180,0.864
2,2024-06-17,Weekend,24,26,3,1,315,0.827
2,2024-06-24,Morning,50,49,0,0,270,0.938
2,2024-06-24,Afternoon,56,55,2,0,360,0.918
2,2024-06-24,Evening,30,33,4,0,180,0.869
2,2024-06-24,Weekend,26,28,3,0,315,0.842
2,2024-07-01,Morning,52,49,0,0,270,0.902
2,2024-07-01,Afternoon,56,56,2,0,360,0.942
2,2024-07-01,Evening,31,34,4,0,180,0.877
2,2024-07-01,Weekend,23,27,4,1,315,0.843
2,2024-07-08,Morning,48,49,1,0,270,0.909
2,2024-07-08,Afternoon,62,61,2,0,360,0.919
2,2024-07-08,Evening,27,30,4,0,180,0.871
2,2024-07-08,Weekend,25,30,4,2,315,0.846
2,2024-07-15,Morning,48,46,0,0,270,0.936
2,2024-07-15,Afternoon,57,55,0,0,360,0.939
2,2024-07-15,Evening,31,35,6,0,180,0.91
2,2024-07-15,Weekend,26,29,5,0,315,0.834
2,2024-07-22,Morning,47,46,0,0,270,0.92
2,2024-07-22,Afternoon,56,55,0,0,360,0.903
2,2024-07-22,Evening,27,30,3,0,180,0.882
2,2024-07-22,Weekend,26,29,3,1,315,0.817
2,2024-07-29,Morning,47,47,0,0,270,0.939
2,2024-07-29,Afternoon,62,59,0,0,360,0.951
2,2024-07-29,Evening,30,35,5,0,180,0.861
2,2024-07-29,Weekend,24,27,3,1,315,0.86
2,2024-08-05,Morning,48,48,0,0,270,0.917
2,2024-08-05,Afternoon,57,56,2,0,360,0.912
2,2024-08-05,Evening,28,31,3,0,180,0.898
2,2024-08-05,Weekend,24,26,2,1,315,0.821
2,2024-08-12,Morning,51,51,0,0,270,0.931
2,2024-08-12,Afternoon,62,61,0,0,360,0.922
2,2024-08-12,Evening,29,32,4,0,180,0.87
2,2024-08-12,Weekend,25,30,4,2,315,0.829
2,2024-08-19,Morning,46,45,0,0,270,0.901
2,2024-08-19,Afternoon,60,60,0,0,360,0.918
2,2024-08-19,Evening,28,33,6,0,180,0.9
2,2024-08-19,Weekend,23,26,3,1,315,0.813
2,2024-08-26,Morning,47,46,0,0,270,0.952
2,2024-08-26,Afternoon,62,60,0,0,360,0.918
2,2024-08-26,Evening,29,32,3,0,180,0.9
2,2024-08-26,Weekend,26,28,3,1,315,0.852
2,2024-09-02,Morning,51,49,0,0,270,0.925
2,2024-09-02,Afternoon,59,59,2,0,360,0.947
2,2024-09-02,Evening,28,30,3,0,180,0.919
2,2024-09-02,Weekend,26,31,4,1,315,0.822
2,2024-09-09,Morning,47,46,0,0,270,0.947
2,2024-09-09,Afternoon,62,59,0,0,360,0.941
2,2024-09-09,Evening,31,34,4,0,180,0.899
2,2024-09-09,Weekend,25,28,3,2,315,0.814
2,2024-09-16,Morning,53,51,0,0,270,0.927
2,2024-09-16,Afternoon,59,61,3,0,360,0.912
2,2024-09-16,Evening,28,30,2,0,180,0.909
2,2024-09-16,Weekend,26,31,5,2,315,0.83
2,2024-09-23,Morning,49,49,0,0,270,0.94
2,2024-09-23,Afternoon,63,63,0,0,360,0.935
2,2024-09-23,Evening,31,33,4,0,180,0.903
2,2024-09-23,Weekend,24,28,4,1,315,0.834
2,2024-09-30,Morning,47,48,1,0,270,0.931
2,2024-09-30,Afternoon,56,53,0,0,360,0.917
2,2024-09-30,Evening,28,34,6,0,180,0.868
2,2024-09-30,Weekend,26,31,5,0,315,0.813
2,2024-10-07,Morning,49,49,0,0,270,0.942
2,2024-10-07,Afternoon,55,54,1,0,360,0.923
2,2024-10-07,Evening,30,34,5,0,180,0.898
2,2024-10-07,Weekend,23,26,2,2,315,0.85
2,2024-10-14,Morning,46,44,0,0,270,0.91
2,2024-10-14,Afternoon,57,54,0,0,360,0.934
2,2024-10-14,Evening,30,34,5,0,180,0.906
2,2024-10-14,Weekend,26,32,5,1,315,0.812
2,2024-10-21,Morning,47,47,0,0,270,0.95
2,2024-10-21,Afternoon,55,53,0,0,360,0.949
2,2024-10-21,Evening,30,33,3,0,180,0.898
2,2024-10-21,Weekend,26,30,2,2,315,0.859
2,2024-10-28,Morning,47,46,0,0,270,0.92
2,2024-10-28,Afternoon,60,58,0,0,360,0.922
2,2024-10-28,Evening,28,30,4,0,180,0.895
2,2024-10-28,Weekend,23,29,5,1,315,0.805
2,2024-11-04,Morning,48,47,0,0,270,0.945
2,2024-11-04,Afternoon,61,60,0,0,360,0.934
2,2024-11-04,Evening,30,34,5,0,180,0.889
2,2024-11-04,Weekend,25,30,3,2,315,0.801
2,2024-11-11,Morning,49,48,0,0,270,0.921
2,2024-11-11,Afternoon,62,60,0,0,360,0.914
2,2024-11-11,Evening,29,31,4,0,180,0.896
2,2024-11-11,Weekend,26,28,2,1,315,0.84
