date,site_id,day_of_week,week_number,month,is_holiday_period,forecast_demand,actual_demand,transactions_or_jobs_completed,scheduled_hours,actual_hours_worked,overtime_hours,agency_hours,absence_hours,service_level_score,customer_wait_time_or_delay_index,labour_cost_gbp,agency_cost_gbp,overtime_cost_gbp
2024-01-22,1,0,4,1,0,110.0,112.5,396,10.0,10.5,0.0,0.9,0.4,0.979,3.3,1211.93,163.1,0.0
2024-01-23,1,1,4,1,0,108.9,110.9,274,9.2,9.7,0.0,0.9,0.4,0.927,4.1,1196.74,157.91,0.0
2024-01-24,1,2,4,1,0,115.8,119.7,314,10.8,10.4,0.0,0.0,0.4,0.905,2.4,1215.66,0.0,0.0
2024-01-25,1,3,4,1,0,134.8,136.9,346,10.5,10.3,0.0,0.0,0.2,0.894,4.4,1181.27,0.0,0.0
2024-01-26,1,4,4,1,0,154.7,159.9,399,10.9,10.5,0.0,0.0,0.4,0.787,5.5,1289.56,0.0,0.0
2024-01-27,1,5,4,1,0,205.5,207.8,536,15.1,14.7,0.3,0.0,0.7,0.698,8.0,1756.69,0.0,51.82
2024-01-28,1,6,4,1,0,145.9,152.4,452,11.8,11.3,0.0,0.0,0.5,0.802,5.2,1352.5,0.0,0.0
2024-01-29,1,0,5,1,0,105.4,104.6,392,8.9,9.3,0.0,0.7,0.3,0.955,1.0,1106.89,124.54,0.0
2024-01-30,1,1,5,1,0,113.8,116.1,431,9.9,9.6,0.0,0.0,0.3,0.933,3.2,1135.95,0.0,0.0
2024-01-31,1,2,5,1,0,139.6,139.6,494,12.2,11.8,0.0,0.0,0.4,0.93,1.3,1464.43,0.0,0.0
2024-02-01,1,3,5,2,0,110.0,107.9,438,8.3,7.9,0.0,0.0,0.4,0.86,4.1,911.94,0.0,0.0
2024-02-02,1,4,5,2,0,161.8,158.7,627,12.1,12.6,0.0,1.0,0.5,0.872,2.6,1562.85,198.19,0.0
2024-02-03,1,5,5,2,0,208.9,201.4,709,14.2,15.4,0.3,1.5,0.6,0.804,4.9,1798.63,255.5,49.88
2024-02-04,1,6,5,2,0,163.2,156.4,487,12.6,12.1,0.0,0.0,0.5,0.891,2.8,1457.74,0.0,0.0
2024-02-05,1,0,6,2,0,123.8,128.1,434,11.4,11.0,0.0,0.0,0.4,0.92,3.2,1267.86,0.0,0.0
2024-02-06,1,1,6,2,0,101.4,99.8,292,7.7,8.0,0.0,0.7,0.4,0.936,1.8,979.49,130.85,0.0
2024-02-07,1,2,6,2,0,119.6,122.7,515,10.6,10.1,0.0,0.0,0.5,0.952,3.0,1204.74,0.0,0.0
2024-02-08,1,3,6,2,0,149.7,146.5,593,12.7,13.1,0.0,0.8,0.4,0.967,3.6,1566.49,152.64,0.0
2024-02-09,1,4,6,2,0,128.1,128.9,525,10.7,11.2,0.0,0.7,0.2,0.907,4.2,1380.79,135.76,0.0
2024-02-10,1,5,6,2,0,156.8,152.7,587,11.4,11.1,0.1,0.0,0.4,0.726,8.6,1297.06,0.0,16.39
2024-02-11,1,6,6,2,0,158.2,159.6,521,12.0,12.8,0.0,1.1,0.3,0.887,5.6,1504.72,191.59,0.0
2024-02-12,1,0,7,2,0,133.0,135.6,490,11.1,11.4,0.0,0.8,0.5,0.922,1.8,1302.02,136.2,0.0
2024-02-13,1,1,7,2,0,106.2,111.1,425,9.3,9.0,0.0,0.0,0.3,0.914,4.3,1083.19,0.0,0.0
2024-02-14,1,2,7,2,0,113.6,110.6,357,8.7,9.3,0.0,1.0,0.4,0.948,2.5,1113.35,191.42,0.0
2024-02-15,1,3,7,2,0,144.1,148.2,413,12.5,12.2,0.0,0.0,0.3,0.957,2.2,1396.05,0.0,0.0
2024-02-16,1,4,7,2,0,124.3,118.9,423,8.8,9.4,0.0,0.8,0.2,0.835,4.2,1105.67,139.16,0.0
2024-02-17,1,5,7,2,0,146.5,151.8,366,11.4,12.6,0.0,1.5,0.3,0.95,1.8,1473.06,262.34,0.0
2024-02-18,1,6,7,2,0,149.1,155.5,387,11.9,12.5,0.0,0.9,0.3,0.904,2.0,1429.69,146.39,0.0
2024-02-19,1,0,8,2,0,113.8,114.8,477,8.8,8.4,0.0,0.0,0.4,0.843,6.1,983.23,0.0,0.0
2024-02-20,1,1,8,2,0,128.3,126.5,529,10.2,9.8,0.0,0.0,0.4,0.847,3.9,1126.39,0.0,0.0
2024-02-21,1,2,8,2,0,101.2,103.4,396,8.9,8.6,0.0,0.0,0.3,0.936,1.5,1051.93,0.0,0.0
2024-02-22,1,3,8,2,0,111.5,106.1,500,9.0,8.8,0.0,0.0,0.2,0.953,2.8,1032.05,0.0,0.0
2024-02-23,1,4,8,2,0,145.3,150.2,368,11.1,11.9,0.0,1.3,0.5,0.874,4.4,1460.24,241.42,0.0
2024-02-24,1,5,8,2,0,180.4,180.7,455,14.2,15.7,0.0,2.0,0.5,0.924,2.1,1970.96,360.47,0.0
2024-02-25,1,6,8,2,0,189.3,183.9,651,14.9,16.3,0.0,1.9,0.5,0.944,3.0,1878.66,346.17,0.0
2024-02-26,1,0,9,2,0,104.3,101.2,415,7.8,8.4,0.0,1.0,0.4,0.953,1.8,1018.96,183.92,0.0
2024-02-27,1,1,9,2,0,126.6,126.2,366,10.3,10.8,0.0,0.8,0.3,0.941,3.9,1262.77,132.8,0.0
2024-02-28,1,2,9,2,0,115.6,112.1,331,9.4,9.7,0.0,0.6,0.3,0.929,3.7,1163.48,102.35,0.0
2024-02-29,1,3,9,2,0,131.0,135.9,563,12.2,11.6,0.0,0.0,0.6,0.904,2.5,1399.36,0.0,0.0
2024-03-01,1,4,9,3,0,163.0,163.7,461,11.3,10.8,0.0,0.0,0.5,0.796,4.8,1283.67,0.0,0.0
2024-03-02,1,5,9,3,0,177.8,185.7,487,14.2,13.8,0.0,0.0,0.4,0.804,5.1,1613.81,0.0,0.0
2024-03-03,1,6,9,3,0,200.2,197.0,713,13.8,14.2,0.7,0.0,0.3,0.76,6.3,1709.07,0.0,119.23
2024-03-04,1,0,10,3,0,113.4,109.2,499,9.1,9.7,0.0,1.0,0.4,0.932,1.3,1119.65,182.76,0.0
2024-03-05,1,1,10,3,0,127.0,126.5,419,10.6,10.3,0.0,0.0,0.3,0.949,2.5,1193.1,0.0,0.0
2024-03-06,1,2,10,3,0,114.2,112.4,466,9.6,9.2,0.0,0.0,0.4,0.913,3.4,1119.35,0.0,0.0
2024-03-07,1,3,10,3,0,128.9,123.3,440,9.7,9.5,0.0,0.0,0.2,0.861,4.3,1165.78,0.0,0.0
2024-03-08,1,4,10,3,0,162.2,161.8,713,11.4,10.9,0.0,0.0,0.5,0.734,7.9,1340.65,0.0,0.0
2024-03-09,1,5,10,3,0,204.4,200.3,898,15.1,14.6,0.0,0.0,0.5,0.848,5.8,1737.86,0.0,0.0
2024-03-10,1,6,10,3,0,175.0,174.0,481,12.4,12.1,0.2,0.0,0.5,0.719,7.1,1504.36,0.0,36.06
2024-03-11,1,0,11,3,0,113.3,110.8,314,8.9,8.5,0.0,0.0,0.4,0.846,5.2,1066.2,0.0,0.0
2024-03-12,1,1,11,3,0,127.6,125.3,568,10.3,10.9,0.0,1.0,0.4,0.953,2.3,1365.02,196.71,0.0
2024-03-13,1,2,11,3,0,133.8,133.6,503,10.8,10.5,0.0,0.0,0.3,0.904,5.2,1290.87,0.0,0.0
2024-03-14,1,3,11,3,0,137.2,136.6,408,11.6,12.6,0.0,1.3,0.3,0.945,3.4,1566.52,231.7,0.0
2024-03-15,1,4,11,3,0,149.8,154.2,625,11.2,12.6,0.0,1.7,0.3,0.912,2.7,1530.09,327.54,0.0
2024-03-16,1,5,11,3,0,169.8,163.7,693,12.3,13.5,0.0,1.7,0.5,0.911,3.4,1620.12,313.62,0.0
2024-03-17,1,6,11,3,0,206.6,216.9,729,15.6,16.9,0.5,1.6,0.8,0.834,4.7,2086.3,309.4,90.93
2024-03-18,1,0,12,3,0,124.3,122.1,496,10.7,10.3,0.0,0.0,0.4,0.909,2.5,1193.18,0.0,0.0
2024-03-19,1,1,12,3,0,106.5,101.2,359,8.8,8.6,0.0,0.0,0.2,0.949,1.3,1069.23,0.0,0.0
2024-03-20,1,2,12,3,0,144.6,138.7,475,12.0,11.7,0.0,0.0,0.3,0.93,3.0,1385.45,0.0,0.0
2024-03-21,1,3,12,3,0,148.4,142.8,396,11.3,11.0,0.0,0.0,0.3,0.862,3.8,1340.27,0.0,0.0
2024-03-22,1,4,12,3,0,175.2,183.6,743,12.7,13.8,0.0,1.6,0.5,0.875,5.0,1690.86,275.5,0.0
2024-03-23,1,5,12,3,0,200.9,200.7,606,15.3,14.6,0.0,0.0,0.7,0.821,4.7,1719.54,0.0,0.0
2024-03-24,1,6,12,3,0,156.6,148.8,457,12.1,11.8,0.0,0.0,0.3,0.868,5.4,1353.62,0.0,0.0
2024-03-25,1,0,13,3,1,159.8,155.2,431,12.3,12.8,0.0,0.9,0.4,0.952,2.0,1467.69,151.85,0.0
2024-03-26,1,1,13,3,1,142.6,148.2,621,11.6,12.6,0.0,1.3,0.3,0.907,4.5,1560.36,242.32,0.0
2024-03-27,1,2,13,3,1,148.4,145.8,652,12.3,13.6,0.0,1.8,0.5,0.95,3.9,1612.54,315.76,0.0
2024-03-28,1,3,13,3,1,153.5,148.8,415,13.1,13.9,0.0,1.3,0.5,0.946,3.9,1740.19,240.6,0.0
2024-03-29,1,4,13,3,1,199.3,198.6,760,14.7,15.5,0.2,1.0,0.4,0.838,3.7,1871.66,187.3,33.54
2024-03-30,1,5,13,3,1,289.4,292.2,1110,21.4,21.3,0.6,0.0,0.7,0.64,7.6,2572.02,0.0,105.89
2024-03-31,1,6,13,3,1,237.4,236.6,596,18.2,19.4,0.0,2.0,0.8,0.916,3.7,2327.21,361.63,0.0
2024-04-01,1,0,14,4,1,189.5,183.5,698,16.2,17.9,0.0,2.2,0.5,0.949,4.0,2171.03,396.24,0.0
2024-04-02,1,1,14,4,1,134.4,138.3,561,11.1,10.8,0.0,0.0,0.3,0.782,5.8,1320.64,0.0,0.0
2024-04-03,1,2,14,4,1,167.5,159.8,573,13.4,14.0,0.0,1.0,0.4,0.921,4.1,1664.04,185.63,0.0
2024-04-04,1,3,14,4,1,168.3,174.5,634,14.4,15.5,0.0,1.6,0.5,0.98,1.0,1898.28,286.16,0.0
2024-04-05,1,4,14,4,1,206.4,213.4,564,15.4,17.7,0.5,2.2,0.4,0.812,3.8,2223.56,404.1,86.58
2024-04-06,1,5,14,4,1,268.2,257.3,1135,20.7,19.7,0.0,0.0,1.0,0.855,4.7,2374.8,0.0,0.0
2024-04-07,1,6,14,4,1,256.9,256.4,876,18.6,19.9,0.7,1.2,0.6,0.776,7.3,2277.0,196.55,110.6
2024-04-08,1,0,15,4,1,157.0,157.3,686,14.1,14.7,0.0,1.0,0.4,0.924,3.0,1836.76,188.35,0.0
2024-04-09,1,1,15,4,0,112.0,115.4,418,10.2,10.4,0.0,0.7,0.5,0.934,4.1,1232.81,128.96,0.0
2024-04-10,1,2,15,4,0,119.4,117.3,454,10.0,10.9,0.0,1.2,0.3,0.93,2.3,1256.64,207.45,0.0
2024-04-11,1,3,15,4,0,138.3,137.5,620,11.4,11.8,0.0,0.8,0.4,0.936,3.0,1352.4,146.36,0.0
2024-04-12,1,4,15,4,0,176.2,175.8,461,14.1,15.2,0.0,1.7,0.6,0.951,2.1,1853.65,318.1,0.0
2024-04-13,1,5,15,4,0,187.4,186.0,772,14.3,15.6,0.0,1.8,0.5,0.908,3.4,1918.29,349.48,0.0
2024-04-14,1,6,15,4,0,159.0,166.2,446,11.6,11.8,0.6,0.0,0.4,0.754,5.2,1412.94,0.0,99.94
2024-04-15,1,0,16,4,0,120.2,115.7,432,10.0,11.1,0.0,1.3,0.2,0.965,2.2,1374.7,233.15,0.0
2024-04-16,1,1,16,4,0,111.1,110.7,364,8.8,9.1,0.0,0.7,0.4,0.908,2.7,1077.72,119.98,0.0
2024-04-17,1,2,16,4,0,149.0,149.0,564,13.1,12.4,0.0,0.0,0.7,0.953,3.5,1482.19,0.0,0.0
2024-04-18,1,3,16,4,0,137.1,137.0,454,11.5,11.1,0.0,0.0,0.4,0.907,4.0,1378.33,0.0,0.0
2024-04-19,1,4,16,4,0,175.9,172.7,581,12.6,13.4,0.0,1.4,0.6,0.854,3.0,1536.92,255.29,0.0
2024-04-20,1,5,16,4,0,214.5,218.4,618,16.1,16.0,0.3,0.0,0.4,0.751,6.5,1877.03,0.0,48.91
2024-04-21,1,6,16,4,0,176.2,175.0,529,14.1,13.7,0.0,0.0,0.4,0.847,4.0,1725.23,0.0,0.0
2024-04-22,1,0,17,4,0,128.2,132.2,343,10.8,11.1,0.0,0.8,0.5,0.912,3.1,1380.19,152.04,0.0
2024-04-23,1,1,17,4,0,140.8,139.6,465,12.4,12.1,0.0,0.0,0.3,0.945,2.3,1408.52,0.0,0.0
2024-04-24,1,2,17,4,0,123.7,127.3,533,11.1,11.7,0.0,0.9,0.3,0.928,3.0,1365.35,164.82,0.0
2024-04-25,1,3,17,4,0,118.8,114.7,448,10.0,9.7,0.0,0.0,0.3,0.951,1.8,1111.68,0.0,0.0
2024-04-26,1,4,17,4,0,163.1,167.4,449,13.8,15.1,0.0,1.9,0.6,0.952,3.5,1857.18,340.61,0.0
2024-04-27,1,5,17,4,0,179.7,179.7,630,13.5,12.9,0.0,0.0,0.6,0.81,6.3,1551.57,0.0,0.0
2024-04-28,1,6,17,4,0,204.9,209.4,888,16.6,18.5,0.0,2.5,0.6,0.906,4.4,2172.06,457.18,0.0
2024-04-29,1,0,18,4,0,145.9,151.5,452,13.2,12.8,0.0,0.0,0.4,0.94,1.5,1493.02,0.0,0.0
2024-04-30,1,1,18,4,0,122.8,117.4,392,10.4,11.7,0.0,1.5,0.2,0.923,2.5,1455.47,289.08,0.0
2024-05-01,1,2,18,5,0,120.8,121.1,490,9.7,10.8,0.0,1.4,0.3,0.943,3.4,1300.1,251.99,0.0
2024-05-02,1,3,18,5,0,143.8,139.5,614,12.2,11.8,0.0,0.0,0.4,0.908,5.0,1475.74,0.0,0.0
2024-05-03,1,4,18,5,0,143.9,138.0,394,10.2,11.4,0.0,1.4,0.2,0.935,3.4,1420.28,266.46,0.0
2024-05-04,1,5,18,5,0,207.4,206.4,662,14.8,15.7,0.4,1.1,0.6,0.857,4.7,1951.15,193.51,72.81
2024-05-05,1,6,18,5,0,169.6,164.8,657,12.9,13.8,0.0,1.4,0.5,0.937,3.2,1595.57,249.07,0.0
2024-05-06,1,0,19,5,0,134.5,128.8,456,10.6,11.5,0.0,1.1,0.2,0.945,3.4,1386.32,205.81,0.0
2024-05-07,1,1,19,5,0,123.0,124.4,535,10.4,10.0,0.0,0.0,0.4,0.944,2.4,1197.79,0.0,0.0
2024-05-08,1,2,19,5,0,130.7,136.8,444,10.8,11.1,0.0,0.6,0.3,0.926,3.9,1269.68,103.91,0.0
2024-05-09,1,3,19,5,0,156.3,151.1,586,12.2,13.3,0.0,1.6,0.5,0.914,3.6,1636.87,309.15,0.0
2024-05-10,1,4,19,5,0,144.5,141.4,433,10.3,9.8,0.0,0.0,0.5,0.777,7.3,1226.91,0.0,0.0
2024-05-11,1,5,19,5,0,214.5,210.3,724,17.9,17.1,0.0,0.0,0.8,0.916,3.2,2064.47,0.0,0.0
2024-05-12,1,6,19,5,0,175.0,179.4,554,12.5,12.7,0.5,0.0,0.3,0.711,8.2,1451.02,0.0,78.64
2024-05-13,1,0,20,5,0,133.5,130.5,351,10.1,11.1,0.0,1.4,0.4,0.909,3.3,1324.39,236.25,0.0
2024-05-14,1,1,20,5,0,137.5,130.8,392,11.6,12.1,0.0,0.9,0.4,0.96,2.7,1517.8,169.21,0.0
2024-05-15,1,2,20,5,0,131.1,129.3,386,10.0,9.7,0.0,0.0,0.3,0.831,5.2,1176.85,0.0,0.0
2024-05-16,1,3,20,5,0,146.8,140.9,506,11.9,12.6,0.0,1.0,0.3,0.927,1.9,1561.05,196.39,0.0
2024-05-17,1,4,20,5,0,177.8,169.2,773,12.9,12.3,0.0,0.0,0.6,0.902,4.1,1413.74,0.0,0.0
2024-05-18,1,5,20,5,0,201.7,200.0,734,14.5,14.8,0.6,0.0,0.3,0.733,6.3,1859.38,0.0,105.94
2024-05-19,1,6,20,5,0,162.4,157.9,556,13.0,12.7,0.0,0.0,0.3,0.86,4.0,1542.08,0.0,0.0
2024-05-20,1,0,21,5,0,134.9,141.5,377,11.0,11.3,0.0,0.7,0.4,0.868,3.8,1333.63,129.63,0.0
2024-05-21,1,1,21,5,0,135.6,134.9,597,11.5,11.2,0.0,0.0,0.3,0.929,1.6,1369.2,0.0,0.0
2024-05-22,1,2,21,5,0,117.7,117.0,391,9.8,10.6,0.0,1.1,0.3,0.942,1.6,1210.15,182.05,0.0
2024-05-23,1,3,21,5,0,133.6,137.8,434,11.5,12.3,0.0,1.2,0.4,0.941,1.4,1517.74,235.21,0.0
2024-05-24,1,4,21,5,0,162.3,166.6,498,13.3,12.7,0.0,0.0,0.6,0.833,4.9,1470.16,0.0,0.0
2024-05-25,1,5,21,5,0,166.7,165.9,697,12.1,12.6,0.2,0.9,0.6,0.866,3.9,1450.11,153.79,34.29
2024-05-26,1,6,21,5,0,180.1,188.6,543,14.7,16.2,0.0,2.0,0.5,0.923,4.5,1883.05,339.48,0.0
2024-05-27,1,0,22,5,0,123.4,119.7,476,9.5,10.0,0.0,0.9,0.4,0.921,3.2,1183.36,167.26,0.0
2024-05-28,1,1,22,5,0,112.4,116.9,358,9.0,9.4,0.0,0.7,0.3,0.89,4.2,1177.28,133.37,0.0
2024-05-29,1,2,22,5,0,140.5,147.4,447,11.6,12.1,0.0,0.9,0.4,0.937,3.7,1417.82,148.47,0.0
2024-05-30,1,3,22,5,0,127.2,124.4,326,10.0,10.6,0.0,0.9,0.3,0.92,1.7,1211.61,148.18,0.0
2024-05-31,1,4,22,5,0,180.7,188.4,633,13.9,13.3,0.0,0.0,0.6,0.806,6.0,1638.59,0.0,0.0
2024-06-01,1,5,22,6,0,220.1,211.2,987,15.8,17.7,0.5,2.0,0.6,0.936,1.8,2076.41,347.91,79.56
2024-06-02,1,6,22,6,0,177.2,173.0,582,13.4,13.0,0.0,0.0,0.4,0.824,4.7,1547.17,0.0,0.0
2024-06-03,1,0,23,6,0,114.2,112.5,414,9.2,10.2,0.0,1.4,0.4,0.967,3.3,1180.19,243.84,0.0
2024-06-04,1,1,23,6,0,134.7,135.9,407,12.1,11.8,0.0,0.0,0.3,0.943,2.7,1460.73,0.0,0.0
2024-06-05,1,2,23,6,0,122.4,124.4,335,11.1,11.6,0.0,1.0,0.5,0.955,2.3,1344.16,164.64,0.0
2024-06-06,1,3,23,6,0,136.2,141.2,471,12.6,14.1,0.0,1.8,0.3,0.977,1.5,1683.95,318.85,0.0
2024-06-07,1,4,23,6,0,176.3,172.0,689,11.4,12.3,0.0,1.4,0.5,0.738,8.7,1531.54,248.81,0.0
2024-06-08,1,5,23,6,0,187.3,188.0,579,12.9,13.9,0.4,1.0,0.4,0.746,5.8,1673.66,187.16,67.76
2024-06-09,1,6,23,6,0,184.7,193.3,654,16.0,17.7,0.0,2.0,0.3,0.979,1.0,2137.17,344.2,0.0
2024-06-10,1,0,24,6,0,127.8,130.6,541,11.1,10.7,0.0,0.0,0.4,0.951,1.3,1291.21,0.0,0.0
2024-06-11,1,1,24,6,0,128.5,127.5,369,10.4,10.7,0.0,0.7,0.4,0.953,1.7,1257.33,131.15,0.0
2024-06-12,1,2,24,6,0,136.4,133.8,422,10.3,10.5,0.0,0.6,0.4,0.888,5.0,1256.43,107.49,0.0
2024-06-13,1,3,24,6,0,130.7,131.0,439,11.1,10.6,0.0,0.0,0.5,0.905,2.3,1253.19,0.0,0.0
2024-06-14,1,4,24,6,0,170.0,169.9,737,11.2,11.7,0.0,0.9,0.4,0.819,3.7,1414.34,163.15,0.0
2024-06-15,1,5,24,6,0,187.8,193.9,521,14.7,15.6,0.0,1.6,0.7,0.904,1.8,1914.66,286.24,0.0
2024-06-16,1,6,24,6,0,156.6,162.3,653,10.8,11.0,0.4,0.0,0.2,0.626,9.6,1318.53,0.0,71.84
2024-06-17,1,0,25,6,0,114.1,117.9,297,9.8,9.3,0.0,0.0,0.5,0.885,3.3,1101.11,0.0,0.0
2024-06-18,1,1,25,6,0,116.6,114.3,349,9.3,9.1,0.0,0.0,0.2,0.878,4.1,1129.97,0.0,0.0
2024-06-19,1,2,25,6,0,112.5,107.4,452,9.6,9.4,0.0,0.0,0.2,0.904,4.3,1112.12,0.0,0.0
2024-06-20,1,3,25,6,0,158.3,154.5,455,12.1,11.7,0.0,0.0,0.4,0.893,5.1,1446.93,0.0,0.0
2024-06-21,1,4,25,6,0,147.9,145.4,645,11.8,12.6,0.0,1.2,0.4,0.906,3.2,1446.59,218.54,0.0
2024-06-22,1,5,25,6,0,177.3,182.0,477,14.9,14.6,0.0,0.0,0.3,0.881,5.2,1790.26,0.0,0.0
2024-06-23,1,6,25,6,0,190.7,199.4,700,15.2,14.6,0.0,0.0,0.6,0.803,5.0,1748.74,0.0,0.0
2024-06-24,1,0,26,6,0,123.8,124.9,454,10.7,10.3,0.0,0.0,0.4,0.947,2.7,1249.13,0.0,0.0
2024-06-25,1,1,26,6,0,124.0,128.6,478,10.0,10.9,0.0,1.3,0.4,0.95,2.8,1286.89,228.57,0.0
2024-06-26,1,2,26,6,0,140.8,141.1,455,10.9,11.6,0.0,1.0,0.3,0.957,1.6,1337.12,169.18,0.0
2024-06-27,1,3,26,6,0,133.2,136.8,546,10.7,10.3,0.0,0.0,0.4,0.862,4.9,1283.42,0.0,0.0
2024-06-28,1,4,26,6,0,143.9,148.5,503,10.5,10.0,0.0,0.0,0.5,0.755,6.6,1252.45,0.0,0.0
2024-06-29,1,5,26,6,0,192.8,191.3,528,13.0,14.0,0.6,1.0,0.6,0.709,6.5,1657.84,180.61,105.64
2024-06-30,1,6,26,6,0,161.2,167.8,693,13.4,12.9,0.0,0.0,0.5,0.885,4.6,1561.25,0.0,0.0
2024-07-01,1,0,27,7,0,140.8,140.9,475,11.4,12.2,0.0,1.1,0.3,0.958,1.7,1433.84,195.04,0.0
2024-07-02,1,1,27,7,0,162.6,159.1,631,12.3,12.8,0.0,0.8,0.3,0.879,4.9,1538.55,146.24,0.0
2024-07-03,1,2,27,7,0,128.3,130.2,576,10.0,9.6,0.0,0.0,0.4,0.896,4.0,1174.66,0.0,0.0
2024-07-04,1,3,27,7,0,141.2,145.9,374,11.6,12.4,0.0,1.0,0.2,0.91,3.0,1527.83,194.51,0.0
2024-07-05,1,4,27,7,0,164.5,171.3,440,13.3,14.3,0.0,1.6,0.6,0.927,1.7,1654.94,281.98,0.0
2024-07-06,1,5,27,7,0,217.3,225.7,899,17.4,18.3,0.0,1.4,0.5,0.899,5.1,2278.89,277.54,0.0
2024-07-07,1,6,27,7,0,219.4,217.7,794,15.5,17.4,0.7,1.6,0.4,0.84,4.5,2080.57,275.85,123.33
2024-07-08,1,0,28,7,0,152.1,156.0,555,13.8,13.4,0.0,0.0,0.4,0.944,3.3,1663.69,0.0,0.0
2024-07-09,1,1,28,7,0,156.0,155.2,679,12.7,13.2,0.0,1.0,0.5,0.95,2.1,1543.76,175.23,0.0
2024-07-10,1,2,28,7,0,136.8,137.8,469,11.7,12.5,0.0,1.2,0.4,0.955,2.3,1547.68,230.16,0.0
2024-07-11,1,3,28,7,0,180.1,173.9,660,14.0,15.1,0.0,1.7,0.6,0.915,4.6,1790.49,317.52,0.0
2024-07-12,1,4,28,7,0,168.3,173.7,431,13.3,14.1,0.0,1.3,0.5,0.949,2.5,1758.41,234.43,0.0
2024-07-13,1,5,28,7,0,259.2,252.6,777,18.6,21.2,0.3,2.8,0.5,0.933,3.8,2507.18,490.77,48.79
2024-07-14,1,6,28,7,0,229.4,221.1,754,16.7,16.2,0.0,0.0,0.5,0.817,4.6,1882.09,0.0,0.0
2024-07-15,1,0,29,7,1,197.4,191.0,795,15.6,16.1,0.0,1.2,0.7,0.93,1.7,1975.28,230.77,0.0
2024-07-16,1,1,29,7,1,213.8,218.1,822,18.2,17.5,0.0,0.0,0.7,0.906,1.9,2193.41,0.0,0.0
2024-07-17,1,2,29,7,1,187.5,193.1,801,14.9,16.1,0.0,1.8,0.6,0.931,1.6,1857.99,295.11,0.0
2024-07-18,1,3,29,7,1,199.8,203.5,714,18.1,17.5,0.0,0.0,0.6,0.905,5.1,2172.79,0.0,0.0
2024-07-19,1,4,29,7,1,242.8,254.9,846,18.0,20.0,0.8,1.6,0.4,0.795,3.5,2489.58,306.46,135.03
